text,label,cluster
"Specjalista ds. Logistyki  Twój zakres obowiązków: - Planowanie i organizacja transportu krajowego i międzynarodowego - Nadzorowanie realizacji dostaw i monitorowanie terminowości - Współpraca z dostawcami usług logistycznych oraz kontrola jakości usług - Optymalizacja procesów logistycznych w celu minimalizacji kosztów - Utrzymywanie bieżącej dokumentacji w zakresie logistyki  Nasze wymagania: - Wykształcenie wyższe (preferowane kierunki: logistyka, transport, zarządzanie) - Doświadczenie w pracy na podobnym stanowisku (min. 2 lata) - Znajomość przepisów dotyczących transportu i spedycji - Znajomość języka angielskiego na poziomie B2 - Umiejętność obsługi programów logistycznych i MS Office  To oferujemy: - Umowę o pracę na pełen etat - Pracę w stabilnej i dynamicznie rozwijającej się firmie - Możliwość zdobycia doświadczenia w międzynarodowym środowisku - Atrakcyjny pakiet socjalny (karta sportowa, prywatna opieka medyczna, ubezpieczenie na życie",1,0
"Grafik Komputerowy  Twój zakres obowiązków: - Projektowanie i tworzenie grafik, ilustracji, infografik oraz materiałów reklamowych - Przygotowanie materiałów do druku - Współpraca z działem marketingu i sprzedaży - Utrzymywanie i aktualizacja wizerunku firmy w mediach i na stronie internetowej - Tworzenie prezentacji multimedialnych  Nasze wymagania: - Wykształcenie wyższe lub średnie (preferowane kierunki: grafika, sztuka) - Min. 2-letnie doświadczenie pracy jako grafik komputerowy - Umiejętność obsługi Adobe Creative Suite (Illustrator, Photoshop, InDesign) - Znajomość zasad kompozycji i typografii - Kreatywność, samodzielność, dobry kontakt z klientem  To oferujemy: - Umowę o pracę lub B2B na pełen etat - Pracę w kreatywnym zespole i przy interesujących projektach - Możliwość zdobywania doświadczenia i rozwijania umiejętności - Elastyczność w godzinach pracy",1,0
"Doradca Finansowy  Twój zakres obowiązków: - Budowanie i utrzymywanie relacji z klientami - Doradztwo w zakresie produktów finansowych (kredyty, inwestycje, ubezpieczenia) - Analiza potrzeb i sytuacji finansowej klientów - Realizacja celów sprzedażowych - Raportowanie wyników i analiza efektywności działań  Nasze wymagania: - Wykształcenie wyższe (preferowane kierunki: finanse, bankowość, ekonomia) - Doświadczenie w pracy na podobnym stanowisku lub w branży finansowej - Znajomość produktów finansowych i przepisów prawa bankowego - Umiejętność nawiązywania i budowania relacji z klientami - Znajomość języka angielskiego na poziomie B1  To oferujemy: - Umowę o pracę na pełen etat - Atrakcyjne wynagrodzenie (podstawa + prowizje od sprzedaży) - Możliwość rozwoju zawodowego w renomowanej instytucji finansowej - Szkolenia branżowe i możliwość zdobycia certyfikatów",1,0
"Kierownik Sklepu  Twój zakres obowiązków: - Zarządzanie zespołem pracowników sklepu - Nadzorowanie i kontrola pracy podległego personelu - Planowanie i koordynacja pracy sklepu - Odpowiedzialność za obroty i wyniki finansowe sklepu - Opracowywanie strategii sprzedaży, marketingu i promocji  Nasze wymagania: - Wykształcenie średnie lub wyższe (preferowane kierunki: zarządzanie, ekonomia) - Doświadczenie w pracy na podobnym stanowisku (min. 3 lata) - Umiejętność zarządzania zespołem, motywowania i rozwiązywania konfliktów - Znajomość rynku i konkurencji w branży - Umiejętność podejmowania decyzji strategicznych  To oferujemy: - Umowę o pracę na pełen etat - Atrakcyjne wynagrodzenie (podstawa + premie uzależnione od wyników) - Możliwość rozwoju zawodowego i awansów - Pracę w dynamicznie rozwijającej się sieci sklepów",1,0
"Specjalista ds. E-commerce  Twój zakres obowiązków: - Wsparcie w zarządzaniu sklepem internetowym - Dodawanie i aktualizacja produktów oraz ich opisów - Monitorowanie konkurencji i trendów rynkowych - Optymalizacja procesów e-commerce - Współpraca z działem marketingu, sprzedaży i logistyki  Nasze wymagania: - Wykształcenie wyższe (preferowane kierunki: marketing, e-commerce, zarządzanie) - Doświadczenie w pracy na podobnym stanowisku - Znajomość narzędzi Google Analytics, Google AdWords - Umiejętność obsługi systemów CMS, np. WordPress, Magento - Znajomość języka angielskiego na poziomie B2  To oferujemy: - Umowę o pracę na pełen etat - Możliwość rozwoju zawodowego w dynamicznie rozwijającej się branży e-commerce - Pracę w młodym i kreatywnym zespole - Szkolenia i konferencje branżowe - Elastyczność w godzinach pracy",1,0
"Poszukujemy pracowników do tajemniczych zadań, nie wymagamy doświadczenia ani umiejętności. Oferujemy gigantyczne wynagrodzenie, ale szczegóły można poznać tylko po kontakcie z nami. Prosimy nie przesyłać CV, tylko podać numer telefonu lub e-mail.",0,1
Zatrudnimy osobę do przeprowadzania badań telefonicznych na konkurencję. Wymagana dyskrecja i umiejętność zdobywania informacji. Oferujemy szybki zarobek i premie w gotówce. Szczegóły na spotkaniu. Brak umowy o pracę.,0,1
"Zatrudnimy kierowcę do przewozu towarów niebezpiecznych bez uprawnień ADR. Wymagane minimum 3 lata doświadczenia i brak skrupułów. Oferujemy wynagrodzenie w gotówce oraz przemycone towary, które można sprzedać.",0,1
"Poszukujemy informatyka z umiejętnościami włamywania się do systemów komputerowych i wykonywania operacji hackerów. Oferujemy wysokie wynagrodzenie oraz możliwość pracy zdalnej, favorujemy osoby poszukiwane przez policję.",0,1
"Firma ""Nigdy cię nie znajdziemy"" poszukuje pracowników na stanowisko ""Zawsze na dole"". Wymagana całkowita dyskrecja, płatność tylko gotówką, brak stosunku pracy. Prosimy o kontakt na podany numer telefonu, ale tylko z publicznych automatów.",0,1
"Zatrudnimy mechaników samochodowych do legalizacji znalezionych pojazdów. Wymagane doświadczenie w zmianie numerów VIN. Oferujemy bardzo atrakcyjne wynagrodzenie, możliwość rozwoju i brak odpowiedzialności karnej.",0,1
"Poszukujemy Specjalisty ds. Sprzedaży dla przedsiębiorstwa handlującego cudzymi danymi osobowymi. Wymagana umiejętność szybkiego pozyskiwania klientów oraz sprzedaży danych w odpowiednich kręgach. Oferujemy wysoką prowizję, premie oraz płatność w kryptowalutach.",0,1
"Zatrudnimy osoby do tworzenia laboratoriów nielegalnych substancji. Wymagane umiejętności chemiczne, wykształcenie nieistotne. Oferujemy wysokie wynagrodzenie oraz ""prawo milczenia"". Kontakt tylko poprzez adres e-mail.",0,1
"Zatrudnimy elokwentnych konsultantów do oszustw telefonicznych, wymagana umiejętność manipulacji i brak skrupułów. Oferujemy premie od każdego oszukania klienta oraz stałe szkolenia z techniki oszustwa. Praca w nieznanej i tajnej lokalizacji.",0,1
"Firma o nieznanej nazwie poszukuje osób do nielegalnej wycinki drzew. Wymagana własna piła łańcuchowa i nie pytanie się o szczegóły zlecenia. Oferujemy atrakcyjne wynagrodzenie, płatność w gotówce oraz możliwość pracy w ciemnych godzinach. Prosimy o kontakt na tajny adres e-mail.",0,1
